Admissões,Desligamentos,Saldos,data,mes,ano,atividade
310478.0,234283.0,76195.0,Setembro/2021,Setembro,2021,['Indústria geral']
5947.0,4279.0,1668.0,Setembro/2021,Setembro,2021,['Indústrias Extrativas']
293711.0,220934.0,72777.0,Setembro/2021,Setembro,2021,['Indústrias de Transformação']
2083.0,1765.0,318.0,Setembro/2021,Setembro,2021,['Eletricidade e Gás']
8737.0,7305.0,1432.0,Setembro/2021,Setembro,2021,"['Água, Esgoto, Atividades de Gestão de Resíduos e Descontaminação']"
170070.0,143864.0,26206.0,Setembro/2021,Setembro,2021,['Construção']
418178.0,357783.0,60395.0,Setembro/2021,Setembro,2021,['Comércio; reparação de veículos automotores e motocicletas']
801237.0,655926.0,145311.0,Setembro/2021,Setembro,2021,['Serviços']
96158.0,78225.0,17933.0,Setembro/2021,Setembro,2021,"['Transporte, armazenagem e correio']"
111105.0,79375.0,31730.0,Setembro/2021,Setembro,2021,['Alojamento e alimentação']
414113.0,349512.0,64601.0,Setembro/2021,Setembro,2021,"['Informação, comunicação e atividades financeiras, imobiliárias, profissionais e administrativas']"
43385.0,33522.0,9863.0,Setembro/2021,Setembro,2021,['Informação e Comunicação']
22574.0,16471.0,6103.0,Setembro/2021,Setembro,2021,"['Atividades Financeiras, de Seguros e Serviços Relacionados']"
7114.0,5573.0,1541.0,Setembro/2021,Setembro,2021,['Atividades Imobiliárias']
64625.0,51067.0,13558.0,Setembro/2021,Setembro,2021,"['Atividades Profissionais, Científicas e Técnicas']"
276415.0,242879.0,33536.0,Setembro/2021,Setembro,2021,['Atividades Administrativas e Serviços Complementares']
132171.0,112899.0,19272.0,Setembro/2021,Setembro,2021,"['Administração pública, defesa e seguridade social, educação, saúde humana e serviços sociais']"
5663.0,4719.0,944.0,Setembro/2021,Setembro,2021,"['Administração Pública, Defesa e Seguridade Social']"
51394.0,35387.0,16007.0,Setembro/2021,Setembro,2021,['Educação']
75114.0,72793.0,2321.0,Setembro/2021,Setembro,2021,['Saúde Humana e Serviços Sociais']
